Student Discipline Data by Race and Gender,,,,,,,,,,,,
"School Year 2014-15, Survey 5 Final Data",,,,,,,,,,,,
"*To provide meaningful results and to protect the privacy of individual students, data are displayed only when the total number of students in a group is at least 10 and when the performance of individuals would not be disclosed. Data for groups less than 10 are displayed with an asterisk (*).",,,,,,,,,,,,
Note:  Totals are unduplicated and students are counted only once for each type of action.,,,,,,,,,,,,
District,District Name,Discipline Description,White,Black or African American,Hispanic/Latino,Asian,Native Hawaiian or Other Pacific Islander,American Indian or Alaska Native,Two or More Races,Female,Male,Total
49,OSCEOLA,Change In Placement,*,*,*,*,*,*,*,*,*,*
50,PALM BEACH,Suspension In-School,"1,850","4,372","2,181",64,10,64,228,"2,800","5,969","8,769"
50,PALM BEACH,Suspension Out-of-School,"1,734","6,745","2,473",66,9,84,288,"3,308","8,091","11,399"
50,PALM BEACH,Placement in Alternative Educational Setting,*,*,*,*,*,*,*,*,*,*
50,PALM BEACH,Physical Restraint,9,26,9,0,0,0,0,7,37,44
50,PALM BEACH,Other SES IR Defined,76,304,83,4,0,2,11,105,375,480
50,PALM BEACH,Change In Placement,7,14,6,0,1,0,0,6,22,28
51,PASCO,Expelled Without Continuing Educational Services,*,*,*,*,*,*,*,*,*,*
51,PASCO,Suspension In-School,"2,328",420,742,23,3,22,165,"1,157","2,546","3,703"
51,PASCO,Seclusion,28,6,6,0,0,0,3,4,39,43
51,PASCO,Mechanical Restraint,*,*,*,*,*,*,*,*,*,*
51,PASCO,Suspension Out-of-School,"2,722",616,825,28,4,20,226,"1,259","3,182","4,441"
51,PASCO,Placement in Alternative Educational Setting,68,21,22,0,0,1,11,29,94,123
51,PASCO,Physical Restraint,37,8,10,0,0,0,5,7,53,60
51,PASCO,Other SES IR Defined,75,20,23,0,0,0,6,17,107,124
51,PASCO,Change In Placement,*,*,*,*,*,*,*,*,*,*
52,PINELLAS,Expelled Without Continuing Educational Services,*,*,*,*,*,*,*,*,*,*
52,PINELLAS,Expelled With Continuing Educational Services,*,*,*,*,*,*,*,*,*,*
52,PINELLAS,Suspension Extended Pending Hearing,26,30,3,0,0,0,1,25,35,60
52,PINELLAS,Suspension In-School,"4,927","4,240","1,473",149,21,31,468,"4,205","7,104","11,309"
52,PINELLAS,Seclusion,16,17,9,1,0,0,2,8,37,45
52,PINELLAS,Mechanical Restraint,*,*,*,*,*,*,*,*,*,*
52,PINELLAS,Suspension Out-of-School,"2,465","3,267",790,60,8,14,305,"2,183","4,726","6,909"
52,PINELLAS,Placement in Alternative Educational Setting,44,45,19,0,0,0,4,31,81,112
52,PINELLAS,Physical Restraint,18,9,9,1,0,0,2,4,35,39
52,PINELLAS,Other SES IR Defined,63,8,8,0,0,1,5,19,66,85
52,PINELLAS,Change In Placement,*,*,*,*,*,*,*,*,*,*
53,POLK,Expelled Without Continuing Educational Services,4,11,2,0,0,0,1,6,12,18
53,POLK,Expelled With Continuing Educational Services,5,5,2,0,0,0,2,4,10,14
53,POLK,Suspension In-School,"1,988","2,312","1,692",27,5,32,224,"2,244","4,036","6,280"
53,POLK,Suspension Out-of-School,"3,946","4,300","3,038",38,12,72,398,"3,766","8,038","11,804"
53,POLK,Placement in Alternative Educational Setting,59,64,38,0,0,0,4,50,115,165
53,POLK,Other SES IR Defined,83,32,30,0,0,1,6,25,127,152
54,PUTNAM,Corporal Punishment,*,*,*,*,*,*,*,*,*,*
54,PUTNAM,Expelled Without Continuing Educational Services,2,7,2,0,0,0,1,5,7,12
54,PUTNAM,Suspension Extended Pending Hearing,*,*,*,*,*,*,*,*,*,*
54,PUTNAM,Suspension In-School,297,270,51,1,0,3,16,194,444,638
54,PUTNAM,Suspension Out-of-School,556,623,144,1,1,7,52,406,978,"1,384"
54,PUTNAM,Placement in Alternative Educational Setting,19,12,4,0,0,0,5,10,30,40
54,PUTNAM,Other SES IR Defined,10,7,3,0,0,1,2,5,18,23
55,ST. JOHNS,Suspension In-School,"1,204",276,160,14,3,2,43,548,"1,154","1,702"
55,ST. JOHNS,Mechanical Restraint,*,*,*,*,*,*,*,*,*,*
55,ST. JOHNS,Suspension Out-of-School,938,268,107,14,4,1,32,322,"1,042","1,364"
55,ST. JOHNS,Placement in Alternative Educational Setting,10,2,0,1,0,0,0,0,13,13
55,ST. JOHNS,Physical Restraint,27,12,3,0,0,0,0,4,38,42
55,ST. JOHNS,Other SES IR Defined,*,*,*,*,*,*,*,*,*,*
56,ST. LUCIE,Expelled Without Continuing Educational Services,0,7,3,0,0,0,0,0,10,10
56,ST. LUCIE,Expelled With Continuing Educational Services,*,*,*,*,*,*,*,*,*,*
56,ST. LUCIE,Suspension Extended Pending Hearing,1,8,1,0,0,0,0,0,10,10
56,ST. LUCIE,Suspension In-School,380,751,310,11,1,2,57,496,"1,016","1,512"
56,ST. LUCIE,Mechanical Restraint,*,*,*,*,*,*,*,*,*,*
56,ST. LUCIE,Suspension Out-of-School,825,"1,757",589,15,3,8,127,957,"2,367","3,324"
56,ST. LUCIE,Placement in Alternative Educational Setting,41,91,36,1,0,0,9,42,136,178
56,ST. LUCIE,Physical Restraint,*,*,*,*,*,*,*,*,*,*
56,ST. LUCIE,Change In Placement,*,*,*,*,*,*,*,*,*,*
57,SANTA ROSA,Corporal Punishment,*,*,*,*,*,*,*,*,*,*
57,SANTA ROSA,Expelled Without Continuing Educational Services,*,*,*,*,*,*,*,*,*,*
57,SANTA ROSA,Expelled With Continuing Educational Services,*,*,*,*,*,*,*,*,*,*
57,SANTA ROSA,Suspension Extended Pending Hearing,*,*,*,*,*,*,*,*,*,*
57,SANTA ROSA,Suspension In-School,"1,158",195,82,10,0,9,124,466,"1,112","1,578"
57,SANTA ROSA,Seclusion,*,*,*,*,*,*,*,*,*,*
57,SANTA ROSA,Suspension Out-of-School,740,106,37,2,0,8,70,231,732,963
57,SANTA ROSA,Placement in Alternative Educational Setting,67,7,4,0,0,1,4,18,65,83
57,SANTA ROSA,Physical Restraint,*,*,*,*,*,*,*,*,*,*
58,SARASOTA,Expelled Without Continuing Educational Services,8,14,10,0,0,0,2,11,23,34
58,SARASOTA,Expelled With Continuing Educational Services,2,6,1,0,0,2,1,2,10,12
58,SARASOTA,Suspension Extended Pending Hearing,9,12,7,0,0,0,1,8,21,29
58,SARASOTA,Suspension In-School,"1,012",487,348,7,3,4,115,597,"1,379","1,976"
58,SARASOTA,Suspension Out-of-School,"1,106",582,426,10,2,10,122,573,"1,685","2,258"
58,SARASOTA,Placement in Alternative Educational Setting,*,*,*,*,*,*,*,*,*,*
58,SARASOTA,Physical Restraint,*,*,*,*,*,*,*,*,*,*
58,SARASOTA,Other SES IR Defined,*,*,*,*,*,*,*,*,*,*
59,SEMINOLE,Expelled Without Continuing Educational Services,*,*,*,*,*,*,*,*,*,*
59,SEMINOLE,Expelled With Continuing Educational Services,6,18,8,0,0,0,1,10,23,33
59,SEMINOLE,Suspension Extended Pending Hearing,*,*,*,*,*,*,*,*,*,*
59,SEMINOLE,Suspension In-School,"1,272","1,207",794,33,4,5,134,"1,063","2,386","3,449"
59,SEMINOLE,Seclusion,*,*,*,*,*,*,*,*,*,*
59,SEMINOLE,Suspension Out-of-School,"1,082","1,162",711,23,7,4,125,843,"2,271","3,114"
59,SEMINOLE,Placement in Alternative Educational Setting,85,83,59,1,1,0,8,78,159,237
59,SEMINOLE,Other SES IR Defined,*,*,*,*,*,*,*,*,*,*
60,SUMTER,Expelled Without Continuing Educational Services,6,6,4,0,0,1,1,6,12,18
60,SUMTER,Suspension Extended Pending Hearing,*,*,*,*,*,*,*,*,*,*
60,SUMTER,Suspension In-School,794,339,172,8,2,3,51,442,927,"1,369"
60,SUMTER,Suspension Out-of-School,378,220,51,3,1,6,24,185,498,683
60,SUMTER,Placement in Alternative Educational Setting,14,4,6,0,0,0,1,8,17,25
61,SUWANNEE,Corporal Punishment,118,28,18,0,0,0,5,27,142,169
61,SUWANNEE,Expelled Without Continuing Educational Services,*,*,*,*,*,*,*,*,*,*
61,SUWANNEE,Suspension In-School,411,205,91,3,0,2,34,259,487,746
61,SUWANNEE,Seclusion,*,*,*,*,*,*,*,*,*,*
61,SUWANNEE,Suspension Out-of-School,207,120,36,2,0,2,18,118,267,385
61,SUWANNEE,Placement in Alternative Educational Setting,*,*,*,*,*,*,*,*,*,*
61,SUWANNEE,Physical Restraint,*,*,*,*,*,*,*,*,*,*
61,SUWANNEE,Change In Placement,*,*,*,*,*,*,*,*,*,*
62,TAYLOR,Expelled Without Continuing Educational Services,*,*,*,*,*,*,*,*,*,*
62,TAYLOR,Suspension Extended Pending Hearing,*,*,*,*,*,*,*,*,*,*
62,TAYLOR,Suspension In-School,318,261,12,3,0,4,28,216,410,626
62,TAYLOR,Suspension Out-of-School,253,177,10,2,0,1,15,155,303,458
63,UNION,Corporal Punishment,109,32,7,0,0,0,7,49,106,155
63,UNION,Suspension In-School,163,67,12,1,0,2,17,93,169,262
63,UNION,Seclusion,*,*,*,*,*,*,*,*,*,*
63,UNION,Suspension Out-of-School,95,50,6,1,1,1,4,45,113,158
63,UNION,Placement in Alternative Educational Setting,*,*,*,*,*,*,*,*,*,*
64,VOLUSIA,Expelled Without Continuing Educational Services,*,*,*,*,*,*,*,*,*,*
64,VOLUSIA,Suspension In-School,"3,197","1,849","1,324",27,6,18,282,"2,270","4,433","6,703"
64,VOLUSIA,Suspension Out-of-School,"2,358","1,663","1,043",21,3,13,224,"1,642","3,683","5,325"
64,VOLUSIA,Placement in Alternative Educational Setting,113,110,61,2,0,1,14,96,205,301
64,VOLUSIA,Physical Restraint,14,10,5,0,0,0,3,7,25,32
64,VOLUSIA,Other SES IR Defined,189,100,63,1,0,0,19,112,260,372
65,WAKULLA,Corporal Punishment,59,15,1,0,0,0,1,11,65,76
65,WAKULLA,Expelled Without Continuing Educational Services,*,*,*,*,*,*,*,*,*,*
65,WAKULLA,Suspension Extended Pending Hearing,*,*,*,*,*,*,*,*,*,*
65,WAKULLA,Suspension In-School,490,97,17,0,0,1,35,205,435,640
65,WAKULLA,Suspension Out-of-School,228,52,5,0,1,0,22,74,234,308
65,WAKULLA,Placement in Alternative Educational Setting,*,*,*,*,*,*,*,*,*,*
66,WALTON,Corporal Punishment,*,*,*,*,*,*,*,*,*,*
66,WALTON,Expelled Without Continuing Educational Services,*,*,*,*,*,*,*,*,*,*
66,WALTON,Expelled With Continuing Educational Services,*,*,*,*,*,*,*,*,*,*
66,WALTON,Suspension Extended Pending Hearing,*,*,*,*,*,*,*,*,*,*
66,WALTON,Suspension In-School,457,98,55,1,0,8,50,196,473,669
66,WALTON,Suspension Out-of-School,330,63,31,0,0,5,32,121,340,461
66,WALTON,Placement in Alternative Educational Setting,*,*,*,*,*,*,*,*,*,*
66,WALTON,Physical Restraint,*,*,*,*,*,*,*,*,*,*
66,WALTON,Other SES IR Defined,14,0,2,0,0,0,0,0,16,16
66,WALTON,Change In Placement,*,*,*,*,*,*,*,*,*,*
67,WASHINGTON,Corporal Punishment,90,42,8,0,0,0,7,16,131,147
67,WASHINGTON,Expelled Without Continuing Educational Services,*,*,*,*,*,*,*,*,*,*
67,WASHINGTON,Suspension In-School,97,55,2,0,0,0,8,44,118,162
67,WASHINGTON,Suspension Out-of-School,153,87,6,0,0,0,16,89,173,262
67,WASHINGTON,Placement in Alternative Educational Setting,*,*,*,*,*,*,*,*,*,*
68,DEAF/BLIND,Suspension In-School,7,4,7,0,0,0,2,3,17,20
68,DEAF/BLIND,Suspension Out-of-School,3,4,4,0,0,0,0,2,9,11
69,WASH SPECIAL,Suspension Extended Pending Hearing,*,*,*,*,*,*,*,*,*,*
69,WASH SPECIAL,Suspension Out-of-School,*,*,*,*,*,*,*,*,*,*
69,WASH SPECIAL,Other SES IR Defined,*,*,*,*,*,*,*,*,*,*
72,FAU LAB SCH,Suspension Out-of-School,7,10,9,0,0,0,1,4,23,27
72,FAU LAB SCH,Other SES IR Defined,*,*,*,*,*,*,*,*,*,*
73,FSU LAB SCH,Expelled Without Continuing Educational Services,*,*,*,*,*,*,*,*,*,*
73,FSU LAB SCH,Suspension In-School,51,63,17,1,0,0,5,57,80,137
73,FSU LAB SCH,Suspension Out-of-School,15,21,7,0,0,0,1,14,30,44
73,FSU LAB SCH,Other SES IR Defined,*,*,*,*,*,*,*,*,*,*
74,FAMU LAB SCH,Suspension In-School,0,91,0,0,0,0,0,42,49,91
74,FAMU LAB SCH,Suspension Out-of-School,1,78,0,0,0,0,1,35,45,80
75,UF LAB SCH,Suspension In-School,16,16,1,0,0,0,1,7,27,34
75,UF LAB SCH,Suspension Out-of-School,7,14,1,0,0,0,3,6,19,25
